State_ID,Config_ID,Workload,RP,norm_rew
122,40,1,1476.31,0.210546140442686
123,40,2,1470.77,0.2097496736498881
124,41,0,872.06,0.1236751910657703
125,41,1,864.91,0.1226472600967261
126,41,2,863.66,0.1224675518853548
127,42,0,1185.39,0.1687215701609611
128,42,1,1173.22,0.1669719310150495
129,42,2,1176.19,0.1673989177252678
130,43,0,576.78,0.081223798542782
131,43,1,568.2,0.079990281379929
132,43,2,580.05,0.0816939152237295
133,44,0,2140.7,0.3060632112851006
134,44,1,2026.61,0.2896608834168138
135,44,2,2036.5,0.291082734785184
136,45,0,1407.16,0.2006046821896223
137,45,1,1390.99,0.1982799767673224
138,45,2,1446.15,0.2062101407187178
139,46,0,1170.69,0.1666082015952338
140,46,1,1166.61,0.1660216339933177
141,46,2,1167.06,0.1660863289494114
142,47,0,569.56,0.080185803913901
143,47,1,564.09,0.07939940078094
144,47,2,565.57,0.0796121753032037
145,48,0,1108.22,0.1576271040237387
146,48,1,1078.06,0.1532911042997705
147,48,2,1078.06,0.1532911042997705
148,49,0,471.63,0.0661067438022232
149,49,1,465.91,0.0652843990269878
150,49,2,487.4,0.0683739425968843
151,50,0,1953.89,0.2792061785120736
152,50,1,1900.29,0.2715002904084696
153,50,2,1906.22,0.2723528261632153
154,51,0,1366.66,0.1947821361411903
155,51,1,1303.92,0.1857622215960389
156,51,2,1312.0,0.1869238554743434
157,52,0,1106.64,0.1573999528445653
158,52,1,1078.92,0.153414743549194
159,52,2,1071.09,0.1522890513131638
160,53,0,466.92,0.0654296032617759
161,53,1,462.34,0.0647711523753112
162,53,2,460.57,0.0645166855480094
163,54,0,1042.6,0.1481931417595878
164,54,1,1023.92,0.1455075822488541
165,54,2,1024.6,0.1456053435158402
166,55,0,425.8,0.0595179219405036
167,55,1,419.21,0.0585705002501538
168,55,2,489.82,0.0687218576940992
169,56,0,1978.36,0.2827241464578793
170,56,1,1873.94,0.2677120413127613
171,56,2,1870.87,0.2672706779456332
172,57,0,1255.88,0.1788556756166148
173,57,1,1240.55,0.1766517341123564
174,57,2,1259.63,0.1793948002507289
175,58,0,1020.99,0.1450863462013997
176,58,1,1016.5,0.1444408343061538
177,58,2,1017.56,0.1445932268693967
178,59,0,417.03,0.0582570891295221
179,59,1,413.61,0.0577654074632101
180,59,2,413.84,0.0577984737741024
181,60,0,796.62,0.112829441093086
182,60,1,738.62,0.1044909800854548
